_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,which_is_the_easiest_to_understand_statement,which_is_the_fourth_easiest_ie_hardest_to_understand_statement,which_is_the_second_easiest_to_understand_statement,which_is_the_third_easiest_ie_second_hardest_to_understand_statement,blank,sentence1,sentence2,sentence3,sentence4,which_is_the_easiest_to_understand_statement_gold,which_is_the_fourth_easiest_ie_hardest_to_understand_statement_gold,which_is_the_second_easiest_to_understand_statement_gold,which_is_the_third_easiest_ie_second_hardest_to_understand_statement_gold
2168810453,2/22/2019 13:04:26,false,4549637667,,2/22/2019 12:59:34,false,instagc,1.0,43951421,GBR,K2,Oxford,165.120.208.42,3,4,2,1,"",An magnetic resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% complete obstruction of the left carotid artery .,An magnetic pulmonary resonance study study showed a 95% complete block of the left carotid arterial structure structure .,,,,
2168810453,2/22/2019 14:12:34,false,4549865997,,2/22/2019 14:07:50,false,fusioncash,1.0,38399674,USA,PA,Williamsburg,207.78.64.239,3,4,2,1,"",An magnetic resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% complete obstruction of the left carotid artery .,An magnetic pulmonary resonance study study showed a 95% complete block of the left carotid arterial structure structure .,,,,
2168810453,2/22/2019 14:13:39,false,4549869530,,2/22/2019 14:11:23,false,neodev,1.0,41746613,GBR,"","",90.243.171.83,4,3,1,2,"",An magnetic resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% complete obstruction of the left carotid artery .,An magnetic pulmonary resonance study study showed a 95% complete block of the left carotid arterial structure structure .,,,,
2168810453,2/22/2019 14:18:26,false,4549884981,,2/22/2019 14:08:13,false,instagc,1.0,44197246,GBR,E4,Witham,86.150.82.230,4,2,3,1,"",An magnetic resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% complete obstruction of the left carotid artery .,An magnetic pulmonary resonance study study showed a 95% complete block of the left carotid arterial structure structure .,,,,
2168810453,2/22/2019 14:37:15,false,4549951467,,2/22/2019 14:32:47,false,instagc,1.0,20225558,GBR,I9,Norwich,212.139.116.95,3,2,4,1,"",An magnetic resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% complete obstruction of the left carotid artery .,An magnetic pulmonary resonance study study showed a 95% complete block of the left carotid arterial structure structure .,,,,
2168810453,2/22/2019 14:37:47,false,4549953489,,2/22/2019 14:34:39,false,instagc,1.0,44203499,GBR,N4,Stoke-on-trent,82.0.152.76,4,1,2,3,"",An magnetic resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% complete obstruction of the left carotid artery .,An magnetic pulmonary resonance study study showed a 95% complete block of the left carotid arterial structure structure .,,,,
2168810453,2/22/2019 14:45:06,false,4549979147,,2/22/2019 14:43:39,false,instagc,1.0,20845955,GBR,L9,Sheffield,146.198.64.122,3,2,4,1,"",An magnetic resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% complete obstruction of the left carotid artery .,An magnetic pulmonary resonance study study showed a 95% complete block of the left carotid arterial structure structure .,,,,
2168810453,2/22/2019 14:59:34,false,4550035486,,2/22/2019 14:56:21,false,instagc,1.0,15577915,USA,IL,Marion,50.45.49.76,4,1,3,2,"",An magnetic resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% complete obstruction of the left carotid artery .,An magnetic pulmonary resonance study study showed a 95% complete block of the left carotid arterial structure structure .,,,,
2168810453,2/22/2019 15:08:03,false,4550068742,,2/22/2019 15:05:09,false,instagc,1.0,43294773,GBR,M8,Camberwell,94.14.226.91,2,4,2,1,"",An magnetic resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% complete obstruction of the left carotid artery .,An magnetic pulmonary resonance study study showed a 95% complete block of the left carotid arterial structure structure .,,,,
2168810453,2/22/2019 15:10:41,false,4550080943,,2/22/2019 15:07:01,false,instagc,1.0,13581319,USA,IL,Marion,50.45.49.76,3,2,4,1,"",An magnetic resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% occlusion of the left carotid artery .,An electric resonance imaging study showed a 95% complete obstruction of the left carotid artery .,An magnetic pulmonary resonance study study showed a 95% complete block of the left carotid arterial structure structure .,,,,
